evidence,gocategory,id,pubmed,qualifier,term,gene,ontology,category
IDA,BP,GO:0043923,2833704,involved_in,positive regulation by host of viral transcription,JUN,BP,
IDA,BP,GO:0045892,2833704,involved_in,negative regulation of DNA-templated transcription,JUN,BP,
IDA,BP,GO:0045893,"[2833704, 9732876, 22083952]",involved_in,positive regulation of DNA-templated transcription,JUN,BP,
IBA,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,JUN,BP,
IDA,BP,GO:0045944,"[2833704, 10508860, 12490281, 19861239, 24623306]",involved_in,positive regulation of transcription by RNA polymerase II,JUN,BP,
IEA,BP,GO:0045944,,acts_upstream_of_or_within,positive regulation of transcription by RNA polymerase II,JUN,BP,
NAS,BP,GO:0045944,1406655,involved_in,positive regulation of transcription by RNA polymerase II,JUN,BP,
IEA,BP,GO:0048146,,acts_upstream_of_or_within,positive regulation of fibroblast proliferation,JUN,BP,
IBA,BP,GO:0048545,,involved_in,response to steroid hormone,JUN,BP,
IBA,BP,GO:0051726,,involved_in,regulation of cell cycle,JUN,BP,
IEA,BP,GO:0051726,,acts_upstream_of_or_within,regulation of cell cycle,JUN,BP,
IDA,BP,GO:0060395,9732876,involved_in,SMAD protein signal transduction,JUN,BP,
IEA,BP,GO:0061029,,acts_upstream_of_or_within,eyelid development in camera-type eye,JUN,BP,
IEA,BP,GO:0070374,,acts_upstream_of_or_within,positive regulation of ERK1 and ERK2 cascade,JUN,BP,
IEA,BP,GO:0071277,,acts_upstream_of_or_within,cellular response to calcium ion,JUN,BP,
IEA,BP,GO:0072740,,involved_in,cellular response to anisomycin,JUN,BP,
NAS,BP,GO:0140467,28566324,involved_in,integrated stress response signaling,JUN,BP,
IMP,BP,GO:1902895,24375836,involved_in,positive regulation of miRNA transcription,JUN,BP,
ISS,BP,GO:1902895,,involved_in,positive regulation of miRNA transcription,JUN,BP,
IMP,BP,GO:1904707,28701355,involved_in,positive regulation of vascular associated smooth muscle cell proliferation,JUN,BP,
IDA,BP,GO:2000144,23027619,involved_in,positive regulation of DNA-templated transcription initiation,JUN,BP,
,,,,,,CMYA5,BP,
IBA,BP,GO:0007165,,involved_in,signal transduction,DUSP8,BP,
ISS,BP,GO:0016311,,involved_in,dephosphorylation,DUSP8,BP,
IBA,BP,GO:0043409,,involved_in,negative regulation of MAPK cascade,DUSP8,BP,
IEA,BP,GO:0005975,,involved_in,carbohydrate metabolic process,OVGP1,BP,
IBA,BP,GO:0006032,,involved_in,chitin catabolic process,OVGP1,BP,
IEA,BP,GO:0007338,,involved_in,single fertilization,OVGP1,BP,
TAS,BP,GO:0007565,9341614,involved_in,female pregnancy,OVGP1,BP,
IEA,BP,GO:2000360,,acts_upstream_of_or_within,negative regulation of binding of sperm to zona pellucida,OVGP1,BP,
IEA,BP,GO:0007155,,involved_in,cell adhesion,CASS4,BP,
IBA,BP,GO:0007169,,involved_in,cell surface receptor protein tyrosine kinase signaling pathway,CASS4,BP,
IBA,BP,GO:0016477,,involved_in,cell migration,CASS4,BP,
IMP,BP,GO:0030335,"[18256281, 27677288]",involved_in,positive regulation of cell migration,CASS4,BP,
IMP,BP,GO:0051897,27677288,involved_in,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,CASS4,BP,
IDA,BP,GO:0061098,18256281,involved_in,positive regulation of protein tyrosine kinase activity,CASS4,BP,
IMP,BP,GO:1900026,18256281,involved_in,positive regulation of substrate adhesion-dependent cell spreading,CASS4,BP,
IMP,BP,GO:0008285,23956221,involved_in,negative regulation of cell population proliferation,H2AC6,BP,
IBA,BP,GO:0031507,,involved_in,heterochromatin formation,H2AC6,BP,
IBA,BP,GO:0006955,,involved_in,immune response,IFI44L,BP,
IDA,BP,GO:0051607,21478870,involved_in,defense response to virus,IFI44L,BP,
IEA,BP,GO:0051607,,involved_in,defense response to virus,IFI44L,BP,
IBA,BP,GO:0003333,,involved_in,amino acid transmembrane transport,SLC7A11,BP,
IEA,BP,GO:0006749,,acts_upstream_of_or_within,glutathione metabolic process,SLC7A11,BP,
IEA,BP,GO:0006865,,involved_in,amino acid transport,SLC7A11,BP,
IEA,BP,GO:0007420,,acts_upstream_of_or_within,brain development,SLC7A11,BP,
IEA,BP,GO:0008542,,acts_upstream_of_or_within,visual learning,SLC7A11,BP,
IDA,BP,GO:0009636,17575980,involved_in,response to toxic substance,SLC7A11,BP,
IDA,BP,GO:0015811,"[11133847, 11213471, 11417227, 15151999, 34880232, 35352032]",involved_in,L-cystine transport,SLC7A11,BP,
IEA,BP,GO:0015811,,involved_in,L-cystine transport,SLC7A11,BP,
IDA,BP,GO:0015813,"[11133847, 11417227, 15151999, 34880232, 35352032]",involved_in,L-glutamate transmembrane transport,SLC7A11,BP,
IEA,BP,GO:0015813,,involved_in,L-glutamate transmembrane transport,SLC7A11,BP,
IEA,BP,GO:0021591,,acts_upstream_of_or_within,ventricular system development,SLC7A11,BP,
IEA,BP,GO:0021756,,acts_upstream_of_or_within,striatum development,SLC7A11,BP,
IEA,BP,GO:0030534,,acts_upstream_of_or_within,adult behavior,SLC7A11,BP,
IEA,BP,GO:0033029,,acts_upstream_of_or_within,regulation of neutrophil apoptotic process,SLC7A11,BP,
IEA,BP,GO:0033554,,acts_upstream_of_or_within,cellular response to stress,SLC7A11,BP,
IEA,BP,GO:0034599,,acts_upstream_of_or_within,cellular response to oxidative stress,SLC7A11,BP,
IEA,BP,GO:0034775,,acts_upstream_of_or_within,glutathione transmembrane transport,SLC7A11,BP,
IEA,BP,GO:0042127,,acts_upstream_of_or_within,regulation of cell population proliferation,SLC7A11,BP,
IEA,BP,GO:0043067,,involved_in,regulation of programmed cell death,SLC7A11,BP,
IEA,BP,GO:0048021,,acts_upstream_of_or_within,regulation of melanin biosynthetic process,SLC7A11,BP,
IEA,BP,GO:0048286,,acts_upstream_of_or_within,lung alveolus development,SLC7A11,BP,
IEA,BP,GO:0050804,,acts_upstream_of_or_within,modulation of chemical synaptic transmission,SLC7A11,BP,
IEA,BP,GO:0050807,,acts_upstream_of_or_within,regulation of synapse organization,SLC7A11,BP,
IEA,BP,GO:0051223,,acts_upstream_of_or_within,regulation of protein transport,SLC7A11,BP,
IEA,BP,GO:0051775,,acts_upstream_of_or_within,response to redox state,SLC7A11,BP,
IEA,BP,GO:0055085,,involved_in,transmembrane transport,SLC7A11,BP,
IEA,BP,GO:0060173,,acts_upstream_of_or_within,limb development,SLC7A11,BP,
IEA,BP,GO:0070527,,acts_upstream_of_or_within,platelet aggregation,SLC7A11,BP,
IEA,BP,GO:0090461,,acts_upstream_of_or_within,intracellular glutamate homeostasis,SLC7A11,BP,
IEA,BP,GO:0098712,,acts_upstream_of_or_within,L-glutamate import across plasma membrane,SLC7A11,BP,
IDA,BP,GO:0110076,35245456,involved_in,negative regulation of ferroptosis,SLC7A11,BP,
IEA,BP,GO:0140206,,acts_upstream_of_or_within,dipeptide import across plasma membrane,SLC7A11,BP,
IDA,BP,GO:0140924,35245456,involved_in,L-kynurenine transmembrane transport,SLC7A11,BP,
IEA,BP,GO:1900407,,acts_upstream_of_or_within,regulation of cellular response to oxidative stress,SLC7A11,BP,
IEA,BP,GO:1901494,,acts_upstream_of_or_within,regulation of cysteine metabolic process,SLC7A11,BP,
IEA,BP,GO:1903786,,acts_upstream_of_or_within,regulation of glutathione biosynthetic process,SLC7A11,BP,
IEA,BP,GO:1904717,,acts_upstream_of_or_within,regulation of AMPA glutamate receptor clustering,SLC7A11,BP,
IEA,BP,GO:2000211,,acts_upstream_of_or_within,regulation of glutamate metabolic process,SLC7A11,BP,
IBA,BP,GO:0000492,,involved_in,box C/D snoRNP assembly,NUFIP1,BP,
IMP,BP,GO:0000492,17636026,involved_in,box C/D snoRNP assembly,NUFIP1,BP,
TAS,BP,GO:0006396,10556305,involved_in,RNA processing,NUFIP1,BP,
IMP,BP,GO:0045944,15107825,involved_in,positive regulation of transcription by RNA polymerase II,NUFIP1,BP,
IEA,BP,GO:0001824,,acts_upstream_of,blastocyst development,RRM2,BP,
IDA,BP,GO:0009185,16376858,involved_in,ribonucleoside diphosphate metabolic process,RRM2,BP,
IEA,BP,GO:0009185,,involved_in,ribonucleoside diphosphate metabolic process,RRM2,BP,
IEA,BP,GO:0009262,,acts_upstream_of_or_within,deoxyribonucleotide metabolic process,RRM2,BP,
IBA,BP,GO:0009263,,involved_in,deoxyribonucleotide biosynthetic process,RRM2,BP,
IEA,BP,GO:0009263,,involved_in,deoxyribonucleotide biosynthetic process,RRM2,BP,
ISS,BP,GO:0009263,,involved_in,deoxyribonucleotide biosynthetic process,RRM2,BP,
IDA,BP,GO:0009265,16376858,involved_in,2'-deoxyribonucleotide biosynthetic process,RRM2,BP,
IEA,BP,GO:0009265,,involved_in,2'-deoxyribonucleotide biosynthetic process,RRM2,BP,
IEA,BP,GO:0051290,,involved_in,protein heterotetramerization,RRM2,BP,
IDA,BP,GO:1900087,24253041,involved_in,positive regulation of G1/S transition of mitotic cell cycle,RRM2,BP,
IEA,BP,GO:1901992,,involved_in,positive regulation of mitotic cell cycle phase transition,RRM2,BP,
IBA,BP,GO:0000122,,involved_in,negative regulation of transcription by RNA polymerase II,SKIL,BP,
IDA,BP,GO:0000122,"[10531062, 16966324, 17469184]",involved_in,negative regulation of transcription by RNA polymerase II,SKIL,BP,
IEA,BP,GO:0000122,,acts_upstream_of_or_within,negative regulation of transcription by RNA polymerase II,SKIL,BP,
IEA,BP,GO:0001825,,acts_upstream_of_or_within,blastocyst formation,SKIL,BP,
IEA,BP,GO:0002260,,acts_upstream_of_or_within,lymphocyte homeostasis,SKIL,BP,
IEA,BP,GO:0007179,,acts_upstream_of_or_within,transforming growth factor beta receptor signaling pathway,SKIL,BP,
IEA,BP,GO:0007283,,involved_in,spermatogenesis,SKIL,BP,
IDA,BP,GO:0007519,17202138,involved_in,skeletal muscle tissue development,SKIL,BP,
IEA,BP,GO:0008625,,acts_upstream_of,extrinsic apoptotic signaling pathway via death domain receptors,SKIL,BP,
IEA,BP,GO:0008630,,acts_upstream_of,intrinsic apoptotic signaling pathway in response to DNA damage,SKIL,BP,
IEA,BP,GO:0030154,,acts_upstream_of,cell differentiation,SKIL,BP,
IBA,BP,GO:0030512,,involved_in,negative regulation of transforming growth factor beta receptor signaling pathway,SKIL,BP,
IDA,BP,GO:0030512,"[17469184, 19383336]",involved_in,negative regulation of transforming growth factor beta receptor signaling pathway,SKIL,BP,
IEA,BP,GO:0030512,,acts_upstream_of_or_within,negative regulation of transforming growth factor beta receptor signaling pathway,SKIL,BP,
IEA,BP,GO:0030512,,involved_in,negative regulation of transforming growth factor beta receptor signaling pathway,SKIL,BP,
IBA,BP,GO:0030514,,involved_in,negative regulation of BMP signaling pathway,SKIL,BP,
IEA,BP,GO:0034097,,involved_in,response to cytokine,SKIL,BP,
IEA,BP,GO:0045596,,acts_upstream_of_or_within,negative regulation of cell differentiation,SKIL,BP,
IEP,BP,GO:0046677,15967445,involved_in,response to antibiotic,SKIL,BP,
IEA,BP,GO:0050767,,involved_in,regulation of neurogenesis,SKIL,BP,
IEA,BP,GO:0050772,,involved_in,positive regulation of axonogenesis,SKIL,BP,
IMP,BP,GO:0050772,16675394,involved_in,positive regulation of axonogenesis,SKIL,BP,
IEA,BP,GO:0051726,,acts_upstream_of_or_within,regulation of cell cycle,SKIL,BP,
IEA,BP,GO:0061061,,involved_in,muscle structure development,SKIL,BP,
IEA,BP,GO:0070306,,acts_upstream_of_or_within,lens fiber cell differentiation,SKIL,BP,
IDA,BP,GO:0070848,19383336,involved_in,response to growth factor,SKIL,BP,
IEA,BP,GO:1902043,,acts_upstream_of_or_within,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,SKIL,BP,
IEA,BP,GO:1902231,,acts_upstream_of_or_within,positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage,SKIL,BP,
,,,,,,TSPAN31,BP,
IGI,BP,GO:0000122,22427340,acts_upstream_of_or_within,negative regulation of transcription by RNA polymerase II,IFI27,BP,
IEA,BP,GO:0002376,,involved_in,immune system process,IFI27,BP,
IDA,BP,GO:0006915,18330707,involved_in,apoptotic process,IFI27,BP,
IEA,BP,GO:0006915,,involved_in,apoptotic process,IFI27,BP,
IMP,BP,GO:0006915,27673746,involved_in,apoptotic process,IFI27,BP,
IMP,BP,GO:0043161,27194766,involved_in,proteasome-mediated ubiquitin-dependent protein catabolic process,IFI27,BP,
IMP,BP,GO:0044827,27777077,involved_in,modulation by host of viral genome replication,IFI27,BP,
IEA,BP,GO:0045087,,involved_in,innate immune response,IFI27,BP,
IMP,BP,GO:0045087,27194766,involved_in,innate immune response,IFI27,BP,
IGI,BP,GO:0046825,22427340,acts_upstream_of_or_within,regulation of protein export from nucleus,IFI27,BP,
IEA,BP,GO:0051607,,involved_in,defense response to virus,IFI27,BP,
IMP,BP,GO:0051607,"[27194766, 27777077]",involved_in,defense response to virus,IFI27,BP,
IMP,BP,GO:0060337,27777077,involved_in,type I interferon-mediated signaling pathway,IFI27,BP,
IDA,BP,GO:0070269,"[35594856, 36426955]",acts_upstream_of_or_within,pyroptotic inflammatory response,IFI27,BP,
IDA,BP,GO:0070269,36426955,involved_in,pyroptotic inflammatory response,IFI27,BP,
IMP,BP,GO:0070936,27194766,involved_in,protein K48-linked ubiquitination,IFI27,BP,
IMP,BP,GO:0097191,24970806,involved_in,extrinsic apoptotic signaling pathway,IFI27,BP,
IBA,BP,GO:0097193,,involved_in,intrinsic apoptotic signaling pathway,IFI27,BP,
IDA,BP,GO:0000122,20976771,involved_in,negative regulation of transcription by RNA polymerase II,THAP1,BP,
IMP,BP,GO:0001935,17003378,involved_in,endothelial cell proliferation,THAP1,BP,
IMP,BP,GO:0006351,17003378,involved_in,DNA-templated transcription,THAP1,BP,
IMP,BP,GO:0006355,17003378,involved_in,regulation of DNA-templated transcription,THAP1,BP,
IBA,BP,GO:0006357,,involved_in,regulation of transcription by RNA polymerase II,THAP1,BP,
IMP,BP,GO:0007346,17003378,involved_in,regulation of mitotic cell cycle,THAP1,BP,
TAS,BP,GO:0006468,10421840,involved_in,protein phosphorylation,MOK,BP,
TAS,BP,GO:0007165,10421840,involved_in,signal transduction,MOK,BP,
IBA,BP,GO:0035556,,involved_in,intracellular signal transduction,MOK,BP,
IEA,BP,GO:0051726,,involved_in,regulation of cell cycle,MOK,BP,
TAS,BP,GO:0000079,6434876,involved_in,regulation of cyclin-dependent protein serine/threonine kinase activity,SERTAD1,BP,
TAS,BP,GO:0008284,6434876,involved_in,positive regulation of cell population proliferation,SERTAD1,BP,
IEA,BP,GO:0045893,,acts_upstream_of_or_within,positive regulation of DNA-templated transcription,SERTAD1,BP,
IEA,BP,GO:0045944,,acts_upstream_of_or_within,positive regulation of transcription by RNA polymerase II,SERTAD1,BP,
IEA,BP,GO:0008033,,involved_in,tRNA processing,TYW1B,BP,
IBA,BP,GO:0031591,,involved_in,wybutosine biosynthetic process,TYW1B,BP,
,,,,,,THSD1,BP,
IBA,BP,GO:0006355,,involved_in,regulation of DNA-templated transcription,ZNF143,BP,
TAS,BP,GO:0006357,9566884,involved_in,regulation of transcription by RNA polymerase II,ZNF143,BP,
IEA,BP,GO:0006359,,involved_in,regulation of transcription by RNA polymerase III,ZNF143,BP,
TAS,BP,GO:0006359,9566884,involved_in,regulation of transcription by RNA polymerase III,ZNF143,BP,
EXP,BP,GO:0045944,9009278,involved_in,positive regulation of transcription by RNA polymerase II,ZNF143,BP,
IDA,BP,GO:0045944,10893243,involved_in,positive regulation of transcription by RNA polymerase II,ZNF143,BP,
TAS,BP,GO:0045945,9009278,involved_in,positive regulation of transcription by RNA polymerase III,ZNF143,BP,
EXP,BP,GO:1905382,9009278,involved_in,positive regulation of snRNA transcription by RNA polymerase II,ZNF143,BP,
,,,,,,TEX10,BP,
IBA,BP,GO:0000122,,involved_in,negative regulation of transcription by RNA polymerase II,NR1D1,BP,
IDA,BP,GO:0000122,19955433,acts_upstream_of_or_within,negative regulation of transcription by RNA polymerase II,NR1D1,BP,
IDA,BP,GO:0000122,8622974,involved_in,negative regulation of transcription by RNA polymerase II,NR1D1,BP,
IMP,BP,GO:0000122,18511497,involved_in,negative regulation of transcription by RNA polymerase II,NR1D1,BP,
IMP,BP,GO:0001678,18006707,involved_in,intracellular glucose homeostasis,NR1D1,BP,
IEA,BP,GO:0005978,,involved_in,glycogen biosynthetic process,NR1D1,BP,
ISS,BP,GO:0005978,,involved_in,glycogen biosynthetic process,NR1D1,BP,
IEA,BP,GO:0006355,,acts_upstream_of_or_within,regulation of DNA-templated transcription,NR1D1,BP,
IEA,BP,GO:0006355,,involved_in,regulation of DNA-templated transcription,NR1D1,BP,
IEA,BP,GO:0007623,,acts_upstream_of_or_within,circadian rhythm,NR1D1,BP,
IBA,BP,GO:0009755,,involved_in,hormone-mediated signaling pathway,NR1D1,BP,
IEA,BP,GO:0010498,,involved_in,proteasomal protein catabolic process,NR1D1,BP,
ISS,BP,GO:0010498,,involved_in,proteasomal protein catabolic process,NR1D1,BP,
IEA,BP,GO:0019216,,involved_in,regulation of lipid metabolic process,NR1D1,BP,
ISS,BP,GO:0019216,,involved_in,regulation of lipid metabolic process,NR1D1,BP,
IBA,BP,GO:0030154,,involved_in,cell differentiation,NR1D1,BP,
IEA,BP,GO:0030154,,involved_in,cell differentiation,NR1D1,BP,
IEA,BP,GO:0030518,,involved_in,nuclear receptor-mediated steroid hormone signaling pathway,NR1D1,BP,
IBA,BP,GO:0030522,,involved_in,intracellular receptor signaling pathway,NR1D1,BP,
IEA,BP,GO:0031648,,involved_in,protein destabilization,NR1D1,BP,
ISS,BP,GO:0031648,,involved_in,protein destabilization,NR1D1,BP,
IEA,BP,GO:0032922,,involved_in,circadian regulation of gene expression,NR1D1,BP,
ISS,BP,GO:0032922,,involved_in,circadian regulation of gene expression,NR1D1,BP,
IMP,BP,GO:0034144,18511497,involved_in,negative regulation of toll-like receptor 4 signaling pathway,NR1D1,BP,
IDA,BP,GO:0042632,18511497,NOT involved_in,cholesterol homeostasis,NR1D1,BP,
ISS,BP,GO:0042632,,involved_in,cholesterol homeostasis,NR1D1,BP,
IEA,BP,GO:0042749,,involved_in,regulation of circadian sleep/wake cycle,NR1D1,BP,
ISS,BP,GO:0042749,,involved_in,regulation of circadian sleep/wake cycle,NR1D1,BP,
IEA,BP,GO:0042752,,involved_in,regulation of circadian rhythm,NR1D1,BP,
ISS,BP,GO:0042752,,involved_in,regulation of circadian rhythm,NR1D1,BP,
IEA,BP,GO:0043124,,involved_in,negative regulation of canonical NF-kappaB signal transduction,NR1D1,BP,
ISS,BP,GO:0043124,,involved_in,negative regulation of canonical NF-kappaB signal transduction,NR1D1,BP,
IBA,BP,GO:0044321,,involved_in,response to leptin,NR1D1,BP,
IEA,BP,GO:0044321,,involved_in,response to leptin,NR1D1,BP,
ISS,BP,GO:0044321,,involved_in,response to leptin,NR1D1,BP,
IEA,BP,GO:0045598,,involved_in,regulation of fat cell differentiation,NR1D1,BP,
ISS,BP,GO:0045598,,involved_in,regulation of fat cell differentiation,NR1D1,BP,
IDA,BP,GO:0045892,"[15761026, 20070857, 23398316]",involved_in,negative regulation of DNA-templated transcription,NR1D1,BP,
IEA,BP,GO:0045892,,involved_in,negative regulation of DNA-templated transcription,NR1D1,BP,
IMP,BP,GO:0045892,"[18006707, 21628546]",involved_in,negative regulation of DNA-templated transcription,NR1D1,BP,
IEA,BP,GO:0045893,,involved_in,positive regulation of DNA-templated transcription,NR1D1,BP,
ISS,BP,GO:0045893,,involved_in,positive regulation of DNA-templated transcription,NR1D1,BP,
IBA,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,NR1D1,BP,
IEA,BP,GO:0048511,,involved_in,rhythmic process,NR1D1,BP,
IEA,BP,GO:0050728,,involved_in,negative regulation of inflammatory response,NR1D1,BP,
ISS,BP,GO:0050728,,involved_in,negative regulation of inflammatory response,NR1D1,BP,
IEA,BP,GO:0060086,,involved_in,circadian temperature homeostasis,NR1D1,BP,
ISS,BP,GO:0060086,,involved_in,circadian temperature homeostasis,NR1D1,BP,
IEA,BP,GO:0061178,,involved_in,regulation of insulin secretion involved in cellular response to glucose stimulus,NR1D1,BP,
ISS,BP,GO:0061178,,involved_in,regulation of insulin secretion involved in cellular response to glucose stimulus,NR1D1,BP,
IEA,BP,GO:0061469,,involved_in,regulation of type B pancreatic cell proliferation,NR1D1,BP,
ISS,BP,GO:0061469,,involved_in,regulation of type B pancreatic cell proliferation,NR1D1,BP,
IEA,BP,GO:0061889,,involved_in,negative regulation of astrocyte activation,NR1D1,BP,
ISS,BP,GO:0061889,,involved_in,negative regulation of astrocyte activation,NR1D1,BP,
IEA,BP,GO:0070859,,involved_in,positive regulation of bile acid biosynthetic process,NR1D1,BP,
ISS,BP,GO:0070859,,involved_in,positive regulation of bile acid biosynthetic process,NR1D1,BP,
IMP,BP,GO:0071222,18511497,involved_in,cellular response to lipopolysaccharide,NR1D1,BP,
IEA,BP,GO:0071347,,involved_in,cellular response to interleukin-1,NR1D1,BP,
ISS,BP,GO:0071347,,involved_in,cellular response to interleukin-1,NR1D1,BP,
IEA,BP,GO:0071356,,involved_in,cellular response to tumor necrosis factor,NR1D1,BP,
ISS,BP,GO:0071356,,involved_in,cellular response to tumor necrosis factor,NR1D1,BP,
IEA,BP,GO:0120163,,involved_in,negative regulation of cold-induced thermogenesis,NR1D1,BP,
ISS,BP,GO:0120163,24162845,involved_in,negative regulation of cold-induced thermogenesis,NR1D1,BP,
IEA,BP,GO:0150079,,involved_in,negative regulation of neuroinflammatory response,NR1D1,BP,
ISS,BP,GO:0150079,,involved_in,negative regulation of neuroinflammatory response,NR1D1,BP,
IEA,BP,GO:1903979,,involved_in,negative regulation of microglial cell activation,NR1D1,BP,
ISS,BP,GO:1903979,,involved_in,negative regulation of microglial cell activation,NR1D1,BP,
IEA,BP,GO:0000122,,acts_upstream_of_or_within,negative regulation of transcription by RNA polymerase II,DLX2,BP,
IEA,BP,GO:0006355,,involved_in,regulation of DNA-templated transcription,DLX2,BP,
IBA,BP,GO:0006357,,involved_in,regulation of transcription by RNA polymerase II,DLX2,BP,
IEA,BP,GO:0006357,,acts_upstream_of_or_within,regulation of transcription by RNA polymerase II,DLX2,BP,
IEA,BP,GO:0007219,,acts_upstream_of,Notch signaling pathway,DLX2,BP,
TAS,BP,GO:0007420,7590232,involved_in,brain development,DLX2,BP,
IEA,BP,GO:0009954,,acts_upstream_of_or_within,proximal/distal pattern formation,DLX2,BP,
IEA,BP,GO:0014016,,acts_upstream_of_or_within,neuroblast differentiation,DLX2,BP,
IEA,BP,GO:0021544,,acts_upstream_of_or_within,subpallium development,DLX2,BP,
IEA,BP,GO:0021766,,acts_upstream_of_or_within,hippocampus development,DLX2,BP,
IEA,BP,GO:0021772,,acts_upstream_of_or_within,olfactory bulb development,DLX2,BP,
IEA,BP,GO:0021879,,acts_upstream_of_or_within,forebrain neuron differentiation,DLX2,BP,
IEA,BP,GO:0021892,,acts_upstream_of_or_within,cerebral cortex GABAergic interneuron differentiation,DLX2,BP,
IEA,BP,GO:0021893,,acts_upstream_of_or_within,cerebral cortex GABAergic interneuron fate commitment,DLX2,BP,
IBA,BP,GO:0030154,,involved_in,cell differentiation,DLX2,BP,
IEA,BP,GO:0030154,,involved_in,cell differentiation,DLX2,BP,
IEA,BP,GO:0042475,,acts_upstream_of_or_within,odontogenesis of dentin-containing tooth,DLX2,BP,
IEA,BP,GO:0045597,,involved_in,positive regulation of cell differentiation,DLX2,BP,
ISS,BP,GO:0045597,,involved_in,positive regulation of cell differentiation,DLX2,BP,
IEA,BP,GO:0045746,,acts_upstream_of_or_within,negative regulation of Notch signaling pathway,DLX2,BP,
IEA,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,DLX2,BP,
ISS,BP,GO:0045944,,involved_in,positive regulation of transcription by RNA polymerase II,DLX2,BP,
IEA,BP,GO:0046533,,involved_in,negative regulation of photoreceptor cell differentiation,DLX2,BP,
ISS,BP,GO:0046533,,involved_in,negative regulation of photoreceptor cell differentiation,DLX2,BP,
IEA,BP,GO:0048701,,acts_upstream_of_or_within,embryonic cranial skeleton morphogenesis,DLX2,BP,
IBA,BP,GO:0048706,,involved_in,embryonic skeletal system development,DLX2,BP,
IEA,BP,GO:0048706,,acts_upstream_of_or_within,embryonic skeletal system development,DLX2,BP,
IEA,BP,GO:0048709,,acts_upstream_of,oligodendrocyte differentiation,DLX2,BP,
IEA,BP,GO:0048715,,acts_upstream_of_or_within,negative regulation of oligodendrocyte differentiation,DLX2,BP,
IEA,BP,GO:0048755,,acts_upstream_of_or_within,branching morphogenesis of a nerve,DLX2,BP,
IEA,BP,GO:0051216,,acts_upstream_of_or_within,cartilage development,DLX2,BP,
